Date,High,Low,Open,Close,Volume,Adj Close
2019-04-29,5372.22998046875,5224.64013671875,5237.9599609375,5350.64013671875,172540196,5350.64013671875
2019-04-30,5417.169921875,5346.7001953125,5350.64013671875,5389.5400390625,147345369,5389.5400390625
2019-05-01,5531.14990234375,5387.2900390625,5389.5400390625,5500.72021484375,192256639,5500.72021484375
2019-05-02,5891.89990234375,5484.77978515625,5500.72021484375,5753.3798828125,432335283,5753.3798828125
2019-05-03,5901.35986328125,5596.14990234375,5753.3798828125,5840.080078125,263390273,5840.080078125
2019-05-04,5849.5,5709.740234375,5840.080078125,5794.14013671875,147662500,5794.14013671875
2019-05-05,5823.669921875,5644.14990234375,5794.14013671875,5748.169921875,200316185,5748.169921875
2019-05-06,6031.5400390625,5748.169921875,5748.169921875,5819.56982421875,353043890,5819.56982421875
2019-05-07,6032.25,5753.080078125,5819.56982421875,5998.7099609375,241917027,5998.7099609375
2019-05-08,6194.91015625,5988.64990234375,5998.7099609375,6171.9599609375,310336580,6171.9599609375
2019-05-09,6444.56982421875,6133.2099609375,6171.9599609375,6358.2900390625,430403405,6358.2900390625
2019-05-10,7394.93994140625,6357.02001953125,6358.2900390625,7191.35986328125,933141315,7191.35986328125
2019-05-11,7541.60986328125,6793.2099609375,7191.35986328125,6977.6298828125,1023203366,6977.6298828125
2019-05-12,8127.75,6873.419921875,6977.6298828125,7806.35986328125,1140302646,7806.35986328125
2019-05-13,8297.01953125,7631.33984375,7806.35986328125,7980.1298828125,976094121,7980.1298828125
2019-05-14,8263.2900390625,7849.919921875,7980.1298828125,8183.830078125,694202804,8183.830078125
2019-05-15,8352.25,7679.0498046875,8183.830078125,7874.10986328125,762104107,7874.10986328125
2019-05-16,7930.97998046875,6668.669921875,7874.10986328125,7371.9599609375,1023961962,7371.9599609375
2019-05-17,7491.669921875,7213.72021484375,7371.9599609375,7266.080078125,303317486,7266.080078125
2019-05-18,8281.66015625,7257.259765625,7266.080078125,8193.1396484375,723011166,8193.1396484375
2019-05-19,8193.1396484375,7591.85009765625,8193.1396484375,7998.2900390625,637617163,7998.2900390625
2019-05-20,8102.31982421875,7807.77001953125,7998.2900390625,7947.93017578125,357803946,7947.93017578125
2019-05-21,8033.759765625,7533.66015625,7947.93017578125,7626.89013671875,424501866,7626.89013671875
2019-05-22,7971.259765625,7478.740234375,7626.89013671875,7876.5,386766321,7876.5
2019-05-23,8165.4501953125,7801.56982421875,7876.5,7996.39990234375,413162746,7996.39990234375
2019-05-24,8140.81982421875,7948.68017578125,7996.39990234375,8059.1298828125,179206342,8059.1298828125
2019-05-25,8779.0,7894.52978515625,8059.1298828125,8726.23046875,483663699,8726.23046875
2019-05-26,8931.5302734375,8668.4599609375,8726.23046875,8785.169921875,507164714,8785.169921875
2019-05-27,8818.7099609375,8562.2001953125,8785.169921875,8718.849609375,360752199,8718.849609375
2019-05-28,8760.48046875,8444.099609375,8718.849609375,8664.5595703125,380343928,8664.5595703125
2019-05-29,9065.8896484375,8027.2099609375,8664.5595703125,8276.25,815525590,8276.25
2019-05-30,8570.7802734375,8116.0,8276.25,8550.669921875,502056527,8550.669921875
2019-05-31,8619.2099609375,8459.650390625,8550.669921875,8555.8701171875,229736992,8555.8701171875
2019-06-01,8819.900390625,8547.48046875,8555.8701171875,8737.91015625,221708083,8737.91015625
2019-06-02,8740.240234375,8073.18017578125,8737.91015625,8114.490234375,534972187,8114.490234375
2019-06-03,8114.490234375,7463.93994140625,8114.490234375,7677.47021484375,809220381,7677.47021484375
2019-06-04,7917.14013671875,7591.8798828125,7677.47021484375,7791.2900390625,387021977,7791.2900390625
2019-06-05,7872.10009765625,7467.52001953125,7791.2900390625,7807.35986328125,342084400,7807.35986328125
2019-06-06,8127.6298828125,7767.3701171875,7807.35986328125,8002.6298828125,407241297,8002.6298828125
2019-06-07,8058.91015625,7796.4599609375,8002.6298828125,7933.77978515625,186055499,7933.77978515625
2019-06-08,7964.75,7535.89990234375,7933.77978515625,7643.43994140625,234551796,7643.43994140625
2019-06-09,8061.5,7533.52978515625,7643.43994140625,8021.0,339520552,8021.0
2019-06-10,8049.77978515625,7724.580078125,8021.0,7917.31982421875,282632009,7917.31982421875
2019-06-11,8250.0,7834.56982421875,7917.31982421875,8174.14013671875,399065678,8174.14013671875
2019-06-12,8326.2001953125,8053.64990234375,8174.14013671875,8235.5703125,315594036,8235.5703125
2019-06-13,8724.419921875,8180.39013671875,8235.5703125,8693.9599609375,424131990,8693.9599609375
2019-06-14,8905.1396484375,8621.48046875,8693.9599609375,8853.5595703125,333656492,8853.5595703125
2019-06-15,9372.8896484375,8800.9599609375,8853.5595703125,8979.1796875,767025702,8979.1796875
2019-06-16,9468.849609375,8976.990234375,8979.1796875,9336.009765625,606269265,9336.009765625
2019-06-17,9357.2197265625,8941.830078125,9336.009765625,9081.7099609375,473016555,9081.7099609375
2019-06-18,9313.1796875,9045.4697265625,9081.7099609375,9280.5400390625,293070485,9280.5400390625
2019-06-19,9600.2802734375,9219.8095703125,9280.5400390625,9536.849609375,424436854,9536.849609375
2019-06-20,10230.8603515625,9536.849609375,9536.849609375,10218.8701171875,765543626,10218.8701171875
2019-06-21,11207.9697265625,10086.3203125,10218.8701171875,10689.5400390625,1240328392,10689.5400390625
2019-06-22,11285.509765625,10513.8095703125,10689.5400390625,10855.990234375,619160985,10855.990234375
2019-06-23,11100.919921875,10555.7099609375,10855.990234375,11035.740234375,565444720,11035.740234375
2019-06-24,11778.2197265625,10992.3701171875,11035.740234375,11740.33984375,953962631,11740.33984375
2019-06-25,13826.759765625,11679.099609375,11740.33984375,12913.2802734375,2685872365,12913.2802734375
2019-06-26,13314.0498046875,10335.33984375,12913.2802734375,11154.08984375,2345027203,11154.08984375
2019-06-27,12433.0,10772.75,11154.08984375,12355.0595703125,1408438810,12355.0595703125
2019-06-28,12362.900390625,11352.26953125,12355.0595703125,11884.099609375,968516834,11884.099609375
2019-06-29,12200.01953125,10677.830078125,11884.099609375,10769.0498046875,917158052,10769.0498046875
2019-06-30,11207.0,10006.4296875,10769.0498046875,10591.8701171875,1225129699,10591.8701171875
2019-07-01,10927.599609375,9678.099609375,10591.8701171875,10844.1298828125,1239524970,10844.1298828125
2019-07-02,12009.58984375,10841.91015625,10844.1298828125,11981.6103515625,1313585829,11981.6103515625
2019-07-03,12055.1103515625,11067.6796875,11981.6103515625,11156.51953125,831236841,11156.51953125
2019-07-04,11435.3798828125,10787.9404296875,11156.51953125,10993.25,734424868,10993.25
2019-07-05,11709.26953125,10985.400390625,10993.25,11248.9404296875,549769169,11248.9404296875
2019-07-06,11605.4296875,11109.419921875,11248.9404296875,11448.2099609375,416168797,11448.2099609375
2019-07-09,12808.0595703125,12243.400390625,12296.1396484375,12448.1201171875,388787008,12448.1201171875
